state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked,notes,totalTestResults
AK,69,1,1,1,1,A,4,2319,13,3,1,2401,3/26 21:00,3/27 09:43,2020-03-27T01:00:00Z,2020-03-27T13:43:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2388
AL,538,1,1,0,0,C,2,3593,,,3,4131,3/27 00:00,3/27 10:14,2020-03-27T04:00:00Z,2020-03-27T14:14:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4131
AR,351,1,1,1,1,A,4,1533,0,41,3,1884,3/27 00:00,3/27 09:21,2020-03-27T04:00:00Z,2020-03-27T13:21:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1884
AZ,577,1,1,1,0,B,3,347,33,66,8,957,3/26 00:00,3/27 09:58,2020-03-26T04:00:00Z,2020-03-27T13:58:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",924
CA,3006,1,1,1,0,B,3,17380,57400,253,65,77786,3/25 17:00,3/26 22:50,2020-03-25T21:00:00Z,2020-03-27T02:50:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",20386
CO,1430,1,1,1,1,A,4,8692,,184,24,10122,3/26 18:00,3/27 10:00,2020-03-26T22:00:00Z,2020-03-27T14:00:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",10122
CT,1012,1,1,1,1,A,4,5488,,125,21,6500,3/26 13:30,3/27 10:13,2020-03-26T17:30:00Z,2020-03-27T14:13:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",6500
DC,267,1,1,1,1,A,4,1897,2,,3,2166,3/26 19:00,3/27 08:16,2020-03-26T23:00:00Z,2020-03-27T12:16:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2164
DE,143,1,1,0,0,C,2,36,,15,2,179,3/26 00:00,3/27 09:53,2020-03-26T04:00:00Z,2020-03-27T13:53:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",179
FL,2359,1,1,1,1,A,4,24553,,410,29,26912,3/26 11:00,3/27 10:12,2020-03-26T15:00:00Z,2020-03-27T14:12:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",26912
GA,1643,1,1,1,1,A,4,7305,,509,56,8948,3/26 19:00,3/27 09:59,2020-03-26T23:00:00Z,2020-03-27T13:59:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",8948
HI,106,1,1,1,1,A,4,4357,3,7,,4466,3/26 18:00,3/27 09:36,2020-03-26T22:00:00Z,2020-03-27T13:36:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4463
IA,179,1,1,0,0,C,2,2578,,46,1,2757,3/26 00:00,3/26 16:56,2020-03-26T04:00:00Z,2020-03-26T20:56:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2757
ID,189,1,1,1,1,A,4,2668,,,3,2857,3/26 20:00,3/27 08:48,2020-03-27T00:00:00Z,2020-03-27T12:48:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2857
IL,2538,1,1,1,1,A,4,14093,,,26,16631,3/26 00:00,3/26 16:03,2020-03-26T04:00:00Z,2020-03-26T20:03:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",16631
IN,645,1,1,1,0,B,3,4006,,,17,4651,3/25 12:59,3/26 16:10,2020-03-25T16:59:00Z,2020-03-26T20:10:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4651
KS,168,1,1,1,0,B,3,2869,,,3,3037,3/26 12:00,3/26 16:14,2020-03-26T16:00:00Z,2020-03-26T20:14:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3037
